"Maria Filomena Molder"; "1950"; ""
"Nuno Nabais";;
"Joaquim Pais de Brito";;
"Gustavo Rubim";;
"Margarida Vieira Mendes";;
"AA VV";;
"Maria de Lourdes Sirgado Ganho";;
"José Maria de Oliveira Simões"; "1857"; "1944"
"José Lorjó Tavares"; "1857"; "1939"
"Manuel Zerbone Júnior"; "1857"; "1905"
"José Maria Rodrigues"; "1857"; "1942"
"Joaquim de Araújo"; "1858"; "1917"
"João Pinto Ribeiro de Carvalho"; "1858"; "1936"
"Manuel Ferreira Deusdado"; "1858"; "1918"
"Manuel Gonçalves"; "1858"; "1927"
"Ricardo Jorge"; "1858"; "1939"
"Narciso de Lacerda"; "1858"; "1913"
"Rangel de Lima Júnior"; "1858"; "1937"
"José Relvas"; "1858"; "1929"
"César Rodrigues"; "1858"; "1946"
"Florêncio Terra"; "1858"; "1942"
"José Leite de Vasconcelos"; "1858"; "1941"
"Ernesto Viana"; "1858"; "1915"
"António Feijó"; "1859"; "1917"
"Luís António Gonçalves de Freitas"; "1859"; "1904"
"Joaquim Alfredo Gallis"; "1859"; "1910"
"Augusto Gama"; "1859"; "1927"
"Jaime de Magalhães Lima"; "1859"; "1936"
"Henrique Marques"; "1859"; "1933"
"Manuel Garcia Monteiro"; "1859"; "1913"
"Eduardo de Noronha"; "1859"; "1948"
"José Joaquim Nunes"; "1859"; "1932"
"Guilherme Augusto de Santa-Rita"; "1859"; "1905"
"Gil Mont' Alverne de Sequeira"; "1859"; "1931"
"Luís A. de Oliveira Ramos"; "1939"; ""
"Rogério Mendes Coito"; "1937"; ""
"Ramiro Correia"; "1937"; "1977"
"Ireneu Cortes"; "1937"; ""
"Soledade Martinho Costa"; "1937"; ""
"Marcelo Curto"; "1937"; ""
"Kaoberdiano Dambará"; "1937"; ""
"João Fernandes"; "1937"; ""
"Carlos Gil"; "1937"; ""
"Fernando Gil"; "1937"; "?"
"José Carlos González"; "1937"; "2000"
"António Silva Graça"; "1937"; ""
"Henrique Guerra"; "1937"; ""
"Manuel de Oliveira Leal Henriques"; "1937"; ""
"Maria Teresa Horta"; "1937"; ""
"Carlos Alberto de Carvalho Jordão"; "1937"; ""
"Leonilde Leal"; "1937"; ""
"Ernesto Pinto Lobo"; "1937"; "2000"
"Teresa Rita Lopes"; "1937"; ""
"Carlos Loures"; "1937"; ""
"Maria da Luz"; "1937"; ""
"José Marques"; "1937"; ""
"Maria Emília Martins"; "1937"; ""
"António Augusto Menano"; "1937"; ""
"Constantino Menino"; "1937"; ""
"Milton Moniz"; "1937"; ""
"Francisco Pedro Curado Neves"; "1937"; ""
"J. D. Lima Oliveira"; "1937"; ""
"Padre Mário de Oliveira"; "1937"; ""
"Oswaldo Osório"; "1937"; ""
"Fernando Assis Pacheco"; "1937"; "1995"
"Helder Pacheco"; "1937"; ""
"Miriam Halpern Pereira"; "1937"; ""
"Sebastião Tavares de Pinho"; "1937"; ""
"Artur Portela Filho"; "1937"; ""
"Graça Almeida Rodrigues"; "1937"; ""
"Maria Adelaide Neto Salvado"; "1937"; ""
"Francisco Sampaio"; "1937"; ""
"Eugénio Francisco dos Santos"; "1937"; ""
