id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
10106;Luís Marques;;;;;;
10107;William A. Mackay;;;;;;
10108;João da Providência Jr.;;;;;;
10109;Torsten Fliessbach;;;;;;
1011;;
10110;Augusto Santos Silva;;;;;;
10111;Paulo Renato Cardoso;1974;Leiria;;;
10112;Christiane Vandenplas-Holper;;;;;;
10113;Américo Lindeza Diogo;;;;;;
10114;Luís Mourão;;;;;;
10115;Helena Malheiro;;;;;;
10116;Rui Aragão;;;;;;
10117;João Nuno Alçada;;;;;;
10118;Mário Duarte;1954;Lisboa;1978;Groningen/Holanda;;
10119;;
1012;;
10120;António Manuel Freire Valente;1956;Lisboa;;;
10121;Eunice Cabral;;;;;;
10122;José Augusto dos Santos Brás;;;;;;
10123;;
10124;Manuel Mengo;;;;;;
10125;Alberto Oliveira Pinto;;;;;;
10126;Maria do Céu de Menezes Moura;;;;;;
10127;Carlos Gouveia e Melo;;;;;;
10128;Risoleta Natálio;;;;;;
10129;Odílio Nunes;;;;;;
1013;;
10130;António Sampaio Gomes;1945;Lamego;;;
10131;Margarida Fonseca Santos;1960;Lisboa;;;
10132;Ivone Balette;1927;Lisboa;1995;?;;
10133;José Vultos Sequeira;1945;Mora;;;
10134;Maria Emília de Almeida Martins Ferreira;1955;Coimbra;;;
10135;Catarina Fonseca;1969;Lisboa;;;
10136;Graça Matos de Sousa;;;;;;
10137;António Manuel dos Santos;;;;;;
10138;José Lança Coelho;;;;;;
10139;Augusto José Monteiro;;;;;;
1014;;
10140;Isabel Aguiar Barcelos;;;;;;
10141;Sofia Belo;;;;;;
10142;Carlos da Gama;;;;;;
10143;Anabela Ferreira;;;;;;
10144;Ana Patrício;;;;;;
10145;António Ferreira;;;;;;
10146;José Sinde Filipe;;;;;;
10147;Luís Filipe de Castro Mendes;1950;Idanha-a-Nova;;;
10148;Paulo Teixeira;1962;Lourenço Marques (hoje Maputo);;;
10149;Al Berto;1948;Coimbra;1997;Lisboa;;
1015;;
10150;Nuno Júdice;1949;Mexilhoeira Grande;;;
10151;Gastão Cruz;1941;Faro;;;
10152;António Franco Alexandre;1944;Viseu;;;
10153;Maria Filomena Molder;1950;;;;
10154;Nuno Nabais;;;;;;
10155;Joaquim Pais de Brito;;;;;;
10156;Gustavo Rubim;;;;;;
10157;Margarida Vieira Mendes;;;;;;
10158;AA VV;;;;;;
10159;Maria de Lourdes Sirgado Ganho;;;;;;
1016;;
10160;José Maria de Oliveira Simões;1857;Leiria;1944;Lisboa;;
10161;José Lorjó Tavares;1857;Faro;1939;Colares/Sintra;;
10162;Manuel Zerbone Júnior;1857;Horta;1905;Horta;;
10163;José Maria Rodrigues;1857;Gondim/Viana do Castelo;1942;Lisboa;;
10164;Joaquim de Araújo;1858;Penafiel;1917;Telhal/Rio de Mouro;;
10165;João Pinto Ribeiro de Carvalho;1858;Lisboa;1936;?;;
10166;Manuel Ferreira Deusdado;1858;Rio Frio/Bragança;1918;Lisboa;;
10167;Manuel Gonçalves;1858;Arco de S. Jorge/Madeira;1927;Arco de S. Jorge;;
10168;Ricardo Jorge;1858;Porto;1939;Lisboa;;
10169;Narciso de Lacerda;1858;Porto;1913;Porto;;
1017;;
10170;Rangel de Lima Júnior;1858;Lisboa;1937;Lisboa;;
10171;José Relvas;1858;Golegã;1929;Alpiarça;;
10172;César Rodrigues;1858;Georgetown/Guiana Inglesa;1946;Vila Franca do Campo/ilha de São Miguel/Açores;;
10173;Florêncio Terra;1858;Horta/Faial/Açores;1942;Horta;;
10174;José Leite de Vasconcelos;1858;Ucanha/Trancoso;1941;Lisboa;;
10175;Ernesto Viana;1858;Porto;1915;Porto;;
10176;António Feijó;1859;Ponte de Lima;1917;Estocolmo/Suécia;;
10177;Luís António Gonçalves de Freitas;1859;Funchal;1904;Lisboa;;
10178;Joaquim Alfredo Gallis;1859;Lisboa;1910;Lisboa;;
10179;Augusto Gama;1859;Porto;1927;Porto;;
1018;;
10180;Jaime de Magalhães Lima;1859;Aveiro;1936;Aveiro;;
10181;Henrique Marques;1859;Lisboa;1933;Lisboa;;
10182;Manuel Garcia Monteiro;1859;Horta/Faial/Açores;1913;Boston/USA;;
10183;Eduardo de Noronha;1859;Lisboa;1948;Lisboa;;
10184;José Joaquim Nunes;1859;Portimão;1932;Lisboa;;
10185;Guilherme Augusto de Santa-Rita;1859;Lisboa;1905;?;;
10186;Gil Mont' Alverne de Sequeira;1859;Óbidos/Pará/Brasil;1931;Ponta Delgada;;
10187;Luís A. de Oliveira Ramos;1939;Braga;;;
10188;Rogério Mendes Coito;1937;Ereira/Cartaxo;;;
10189;Ramiro Correia;1937;Lisboa;1977;Moçambique;;
1019;;
10190;Ireneu Cortes;1937;São Clemente/Loulé;;;
10191;Soledade Martinho Costa;1937;Lisboa;;;
10192;Marcelo Curto;1937;Aldeia de Santa Margarida/Idanha-a-Nova;;;
10193;Kaoberdiano Dambará;1937;Ilha de Santiago/Cabo Verde;;;
10194;João Fernandes;1937;Lisboa;;;
10195;Carlos Gil;1937;Mortágua;;;
10196;Fernando Gil;1937;Muecate/Moçambique;?;Paris;;
10197;José Carlos González;1937;Lisboa;2000;Kerlaz/Plouigneau/França;;
10198;António Silva Graça;1937;Inhambane/Moçambique;;;
10199;Henrique Guerra;1937;Luanda/Angola;;;
1020;;
10200;Manuel de Oliveira Leal Henriques;1937;Válega/Ovar;;;
10201;Maria Teresa Horta;1937;Lisboa;;;
10202;Carlos Alberto de Carvalho Jordão;1937;São Tomé/São Tomé e Príncipe;;;
10203;Leonilde Leal;1937;Paço de Sousa/Penafiel;;;
10204;Ernesto Pinto Lobo;1937;Tramagal/Abrantes;2000;Castelo Branco;;
10205;Teresa Rita Lopes;1937;Faro;;;
10206;Carlos Loures;1937;Lisboa;;;
10207;Maria da Luz;1937;Lisboa;;;
10208;José Marques;1937;Rouças/Melgaço;;;
10209;Maria Emília Martins;1937;Penafiel;;;
1021;;
10210;António Augusto Menano;1937;Figueira da Foz;;;
10211;Constantino Menino;1937;Alcochete;;;
10212;Milton Moniz;1937;Ponta Delgada;;;
10213;Francisco Pedro Curado Neves;1937;Estremoz;;;
10214;J. D. Lima Oliveira;1937;Ponte da Barca;;;
10215;Padre Mário de Oliveira;1937;Lourosa/Santa Maria da Feira;;;
10216;Oswaldo Osório;1937;Mindelo/SãoVicente/Cabo Verde;;;
10217;Fernando Assis Pacheco;1937;Coimbra;1995;Lisboa;;
10218;Helder Pacheco;1937;Porto;;;
10219;Miriam Halpern Pereira;1937;Lisboa;;;
1022;;
10220;Sebastião Tavares de Pinho;1937;Rocas do Vouga/Sever de Vouga;;;
10221;Artur Portela Filho;1937;Lisboa;;;
