Abranches, Cassiano dos Santos; 1896-1983
Abranches, Cristina Maria Negrão; 1963-
Abranches, Dunshee de; 1868-1941
Abranches, Filipe; 1965-
Abranches, Francisco Coelho Ribeiro de; ca 18--
Abranches, Guilherme da Silva; 1812-1872
Abranches, Henrique; 1932-2006
Abranches, J.; ca 18- -
Abranches, João António Garcia de; 1769-1845
Abranches, João de Pina Madeira; ?-1883
Abranches, João Pais de Vasconcelos; ca 18- -
Abranches, Joaquim; 1888-1939
Abranches, Joaquim Cândido; 1830-1912
Abranches, Joaquim dos Santos; 1860-1926
Abranches, José P. de; ca 18--
Abranches, Pais; 1837-1917
Abranches; Pedro 1930-2009
Abranches, Silvério; ca 18 --
Abranches, Vicente Luís; ca 18- -
Abrantes; 1o Marquês de
Abrantes, 1o Marquês de; 1676-1733
Abrantes; 7o Marquês de
Abrantes, Alexandre; 1951-
Abrantes, Ana Catarina Leitão Silva; 1984-
Abrantes, António Baptista, 1737-1813; O.F.M.
Abrantes, António Correia; 1954-
Abrantes, António Maria; 18---19--
Abrantes, Benvinda Coito; 1930-
Abrantes, Catarina Isabel Neto Gavião; 1973-
Abrantes, David Lopes; 1974-
Abrantes, Diana Rita de Albuquerque Costa; 1984-
Abrantes, Duquesa de; 1784-1838
Abrantes, Graça; 1955-
Abrantes, Joaquim José Leitão Silva; 1980-
Abrantes, Joaquim Roque; 1939-
Abrantes, Jorge Manuel de Flor; 1961-
Abrantes, José; 1951-
Abrantes, José; 1960-
Abrantes, José João; 1955-
Abrantes, José M. Barreira; 1945-
Abrantes, José Mena; 1945-
Abrantes, Leonel; 1920-
Abrantes, Luísa; 1946-
Abrantes, Manuel da Costa; 18---19--
Abrantes, Manuel de; 16---1717
Abrantes, Mário António Rodrigues Grande; 1962-
Abrantes, Marlene de Fátima Pereira; 1977-
Abrantes, Marquês de; 1676-1733
Abrantes, Marquês de; 1937-1993
Abrantes, Nuno; 1976-
Abrantes, Paula; 1969-
Abrantes, Paulo; 1953-
Abrantes, Paulo; 1969-
Abrantes, Romão José; fl. 1802-1817
Abrantes, Tânia Margarida Rodrigues Clemente; 1977-
Abrantes, Ventura Ledesma; 1883-1956
Abrantes, Visconde de; 1794-1865
Abravanel, Isaac; 1437-1508
Abravanel, Jona; fl. 1630-1652
Abrecht, Roland; 1956-
Abresch, Franz; fl. entre 1831 e 1850
Abreu, A. Barbosa de; 1916-
Abreu, Abel Cancela de; 1915-
Abreu, Abílio Vassalo; 1952-
Abreu, Adelino de; 1869-?
Abreu, Adélio; 1970-
Abreu, Adrião de; fl. 1627
Abreu, A.; fl. 1977
Abreu, Alberto Antunes de; 1945-
Abreu, Aleixo de; 1568-1630
Abreu, Alexandre Cancela de; 1887-?
Abreu, Alexandre Cancela de; 1949-
Abreu, Alícia Maria Faria; 1965-
Abreu, Alípio de; 1890-?
Abreu, Álvaro; ca 18--
Abreu, Álvaro da Piedade; 1914-
Abreu, A. M. da S. Pinto; 1803-1885
Abreu, Ana Maria; 1965-
Abreu, Antero; 1927-
Abreu, António Aires de; 18---19--
Abreu, António Aires de; 1921-
Abreu, António de; fl. 1553
Abreu, António de, fl. 166-; O.P.
Abreu, António Domingos; 1964-
Abreu, António; fl. 1770-1800
Abreu, António Graça de; 1947-
Abreu, António H. Simões de; 1923-
Abreu, Antônio Izaias da Costa; 1932-
Abreu, António Joaquim de; 17---18--
Abreu, António Joaquim Ribeiro Gomes de; 1803-1867
Abreu, António José de; 1805-1872
Abreu, António José Teixeira de; 1865-1930
Abreu, António Lopes de; 17---18--
Abreu, António Luís de; ca 18- -
Abreu, António Luís de; fl. ca 1842
Abreu; António Maló de 1957-
Abreu, António Paulino Limpo de; 1798-1883
Abreu, António Plácido de; 1930-1952
Abreu, António Rodrigues de; fl. 166--168-
Abreu, Armando Cancela de; 1884-1966
Abreu, Armando de Castro e; 1915-
Abreu, Armindo Patrão de; 1944-
Abreu; Arnaldo Saldanha 1966-
Abreu, Artur Carlos Reis de; 1981-
Abreu, Augusto Cancela de; 1895-1965
Abreu, Augusto de Oliveira; ca 18- -
Abreu, B. A.; fl. 1851
Abreu, Brás de; fl. 16--
Abreu, Brás Luís de; 1692-1756
Abreu, Bricio de; 1903-1970
Abreu, Caetano José de; fl. 17--
Abreu, Caetano Xavier de; fl. 18--
Abreu, Caio Fernando; 1948-1996
Abreu, Capistrano de; 1853-1927
Abreu, Carlos; 1868-1952
Abreu, Carlos; 1926-
Abreu, Carlos; 1949-
Abreu, Carlos Alberto; 1947-
Abreu, Carlos de; 1888-1932
Abreu, Carlos Jorge Enes Capitão; 1976-
Abreu, Carlos José das Neves de; 1952-
